OP_UNIQUE_CARRIER,flights,delay_rate,mean_delay,median_delay,p90,p95,p99
WN,116934,0.23426890382608992,12.953058990541672,0.0,38.0,64.0,151.0
DL,83015,0.1723784858158164,12.491513581882792,0.0,32.0,64.0,193.0
AA,79909,0.24623008672364816,20.3690573026818,0.0,54.0,98.0,256.0
OO,68147,0.18107913774634246,13.904779374000324,0.0,36.0,73.0,201.5399999999936
UA,67368,0.2069231682698017,13.035758817242607,0.0,35.0,67.0,173.0
YX,28322,0.25015888708424544,16.871513311206837,0.0,52.0,89.0,198.0
MQ,26209,0.19092678087679804,11.817467282231295,0.0,34.0,63.0,158.0
OH,19617,0.19702299026354692,15.08416169648774,0.0,39.0,74.0,203.6800000000003
AS,19550,0.20531969309462916,12.700511508951406,0.0,35.0,63.0,178.0
B6,17664,0.26137907608695654,19.569746376811594,0.0,62.0,105.0,228.0
F9,16688,0.22465244487056568,19.726689837008628,0.0,50.0,94.0,260.130000000001
NK,13767,0.19808237088690347,14.582697755502288,0.0,43.0,77.0,202.34000000000015
G4,10424,0.22141212586339218,17.870011511895626,0.0,46.0,81.0,205.77000000000044
HA,5892,0.20400543109300748,14.313815342837746,1.0,30.0,58.0,189.0
