ORIGIN,OP_UNIQUE_CARRIER,flights,delay_rate,mean_delay,p95,p99
ATL,F9,1557,0.28709055876685935,23.4990366088632,105.0,288.0800000000004
ATL,WN,1579,0.24255858138062064,13.525015832805574,64.09999999999991,153.0
ATL,AA,583,0.23156089193825044,27.012006861063465,127.89999999999998,386.5199999999968
ATL,UA,644,0.1956521739130435,13.237577639751553,68.55000000000007,205.5200000000018
ATL,DL,18691,0.19019849125247446,10.959392220854957,55.0,131.0
ATL,NK,514,0.16342412451361868,13.066147859922179,63.69999999999993,207.0100000000001
ATL,OO,531,0.16195856873822975,15.07909604519774,84.0,283.50000000000296
BOS,WN,698,0.3753581661891118,26.05730659025788,136.14999999999998,234.2099999999998
BOS,YX,2473,0.3016579053780833,21.75818843509907,108.0,213.0
BOS,AA,1405,0.2918149466192171,29.250533807829182,135.79999999999995,399.4400000000014
BOS,UA,1075,0.2855813953488372,21.35906976744186,114.59999999999991,244.5999999999999
BOS,DL,2146,0.27260018639328987,23.61323392357875,128.0,254.45000000000346
BOS,B6,3184,0.2333542713567839,16.304020100502512,95.0,206.17000000000007
DFW,AA,12768,0.32221177944862156,22.44094611528822,110.0,227.65999999999985
DFW,UA,822,0.2725060827250608,16.2639902676399,75.94999999999993,182.7499999999991
DFW,OO,2158,0.24420759962928637,17.244207599629288,95.15000000000009,191.4399999999987
DFW,F9,872,0.23738532110091742,15.04816513761468,80.0,177.15999999999985
DFW,DL,996,0.21586345381526104,15.863453815261044,87.0,231.04999999999995
DFW,NK,447,0.19686800894854586,14.288590604026846,71.39999999999998,154.72000000000037
DFW,MQ,5624,0.17585348506401138,10.374822190611665,61.0,140.0
DFW,OH,1509,0.17229953611663354,15.225977468522201,81.0,221.1200000000008
EWR,UA,5416,0.32625553914327915,21.571085672082717,101.0,231.0
EWR,DL,568,0.31866197183098594,23.455985915492956,105.0,323.33000000000004
EWR,NK,705,0.30354609929078014,21.73049645390071,97.59999999999991,269.4400000000014
EWR,B6,355,0.2704225352112676,18.515492957746478,99.90000000000003,217.59999999999877
EWR,YX,1995,0.24360902255639097,13.317794486215538,64.29999999999995,152.47999999999956
EWR,AA,494,0.23279352226720648,22.431174089068826,75.34999999999997,220.90999999999923
JFK,AS,326,0.36809815950920244,22.395705521472394,77.75,271.0
JFK,B6,2827,0.30173328616908385,20.992571630703928,110.39999999999964,224.21999999999935
JFK,AA,1144,0.25,18.79458041958042,74.0,247.13999999999987
JFK,YX,1258,0.24483306836248012,17.324324324324323,92.14999999999986,224.2900000000002
JFK,DL,2478,0.23930589184826473,17.793381759483456,72.15000000000009,262.23
LGA,UA,776,0.4007731958762887,26.783505154639176,112.5,282.5
LGA,WN,946,0.39429175475687106,25.582452431289642,124.5,242.1999999999989
LGA,AA,1233,0.37631792376317924,30.694241686942416,130.0,289.20000000000095
LGA,B6,328,0.3597560975609756,24.652439024390244,122.2999999999995,213.98000000000047
LGA,DL,2526,0.3388756927949327,25.026128266033254,127.75,247.25
LGA,YX,4429,0.3384511176337774,22.36509370060962,108.0,209.4400000000005
LGA,NK,426,0.25821596244131456,16.854460093896712,87.25,169.5
ORD,OH,348,0.3563218390804598,46.252873563218394,190.94999999999993,652.1999999999853
ORD,AA,5340,0.30599250936329586,24.464606741573032,114.0,253.4399999999987
ORD,OO,6371,0.3001098728614032,22.264322712290063,104.0,232.90000000000055
ORD,F9,383,0.2898172323759791,34.87206266318538,143.19999999999982,756.0600000000011
ORD,DL,1009,0.27849355797819625,21.009910802775025,109.59999999999945,222.67999999999984
ORD,UA,8662,0.25109674440083124,14.804894943431078,75.0,167.77999999999884
ORD,MQ,4564,0.21560035056967572,11.48159509202454,59.0,127.0
ORD,WN,413,0.2033898305084746,9.76997578692494,53.19999999999993,106.67999999999995
ORD,NK,394,0.19543147208121828,11.753807106598984,52.0,161.84999999999962
ORD,YX,1933,0.17796171753750648,10.242628039317124,53.0,129.0400000000002
